Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,107.349998,108.199997,105.610001,105.970001,66.539818,4801900
2011-02-01,105.720001,106.320000,104.120003,105.449997,66.213280,4293700
2011-03-01,105.209999,106.690002,104.959999,106.629997,67.242981,4894500
2011-04-01,106.389999,107.989998,106.279999,107.989998,68.392433,7221400
2011-05-01,107.730003,109.099998,107.300003,109.099998,69.389603,4661300
2011-06-01,108.480003,109.519997,108.000000,109.320000,69.818535,5838700
2011-07-01,108.660004,111.070000,108.570000,111.019997,71.201828,6363100
2011-08-01,111.120003,112.089996,105.940002,111.169998,71.591438,12009000
2011-09-01,111.230003,111.419998,103.570000,105.430000,68.152824,7777900
2011-10-01,104.830002,110.650002,102.500000,110.400002,71.646523,8456200
2011-11-01,109.800003,111.199997,106.300003,108.540001,70.735283,7213300
2011-12-01,108.410004,109.860001,108.330002,109.750000,71.813332,8566900
2012-01-01,109.639999,111.040001,107.900002,111.000000,73.203957,11594800
2012-02-01,110.910004,115.000000,110.230003,113.300003,74.720802,10333200
2012-03-01,112.949997,114.529999,112.279999,112.709999,74.622154,11071900
2012-04-01,112.650002,114.269997,112.000000,114.269997,75.958656,12864600
2012-05-01,113.730003,114.570000,110.260002,110.680000,73.864555,15367200
2012-06-01,110.180000,114.830002,108.500000,114.720001,76.853981,15644300
2012-07-01,114.500000,118.839996,114.349998,118.550003,79.737465,18990000
2012-08-01,119.169998,119.769997,117.669998,119.559998,80.731407,12479000
2012-09-01,119.559998,121.269997,119.000000,121.260002,82.189232,16339200
2012-10-01,121.269997,123.300003,120.709999,121.610001,82.721909,14959200
2012-11-01,121.239998,122.760002,120.699997,122.699997,83.739532,20436900
2012-12-01,122.239998,124.430000,122.040001,122.790001,83.800972,16407700
2013-01-01,122.989998,123.349998,119.150002,119.290001,81.933868,28678100
2013-02-01,118.750000,120.059998,118.419998,119.169998,81.851494,19224700
2013-03-01,118.629997,119.260002,117.449997,117.629997,81.088745,17901300
2013-04-01,117.129997,121.400002,117.050003,121.400002,83.989250,17040900
2013-05-01,121.089996,121.809998,114.660004,115.029999,79.861290,15207400
2013-06-01,114.230003,114.879997,101.199997,109.529999,76.301155,36514700
2013-07-01,109.110001,112.129997,106.550003,109.260002,76.385269,17581800
2013-08-01,109.070000,109.910004,105.680000,106.160004,74.517426,9179500
2013-09-01,105.400002,111.150002,104.599998,109.029999,76.852005,19166200
2013-10-01,108.580002,111.989998,108.260002,111.349998,78.829651,12362400
2013-11-01,110.839996,110.879997,107.180000,108.669998,77.239075,13079000
2013-12-01,107.830002,109.320000,106.809998,108.160004,77.179482,12930900
2014-01-01,108.150002,109.269997,106.940002,107.279999,77.132706,15097700
2014-02-01,107.050003,110.540001,106.690002,110.540001,79.476585,14991300
2014-03-01,109.360001,111.459999,108.900002,111.419998,80.424942,14875300
2014-04-01,111.120003,112.650002,110.650002,112.169998,81.283203,19454200
2014-05-01,112.010002,115.739998,111.650002,115.629997,84.111267,23791500
2014-06-01,115.279999,115.910004,113.650002,115.269997,84.160789,20426900
2014-07-01,114.779999,116.320000,114.339996,114.580002,83.954727,15229300
2014-08-01,113.910004,116.000000,112.940002,115.629997,85.019798,21705500
2014-09-01,115.250000,115.510002,112.699997,112.849998,83.266464,17801400
2014-10-01,112.809998,114.849998,112.570000,114.680000,84.829468,23542400
2014-11-01,114.480003,114.480003,112.889999,113.800003,84.470459,14866700
2014-12-01,113.040001,113.389999,104.940002,109.709999,81.723152,27309300
2015-01-01,110.010002,111.940002,108.269997,111.760002,84.007019,22661500
2015-02-01,111.639999,112.620003,110.480003,112.449997,84.525642,13813300
2015-03-01,112.230003,112.620003,109.269997,112.120003,84.564400,14678400
2015-04-01,112.160004,114.309998,112.019997,113.120003,85.589584,18057400
2015-05-01,112.680000,113.040001,111.599998,112.370003,85.309731,13638100
2015-06-01,111.660004,111.809998,108.709999,109.919998,83.747322,14691800
2015-07-01,109.809998,110.050003,108.500000,109.660004,83.861938,22580500
2015-08-01,109.250000,109.300003,105.029999,108.010002,82.918449,25756400
2015-09-01,107.480003,109.239998,105.360001,106.400002,81.995720,18600600
2015-10-01,106.150002,109.680000,105.589996,108.500000,83.972481,18558900
2015-11-01,108.040001,109.300003,107.449997,108.389999,84.259590,19171700
2015-12-01,108.209999,108.339996,105.139999,105.779999,82.565460,24309000
2016-01-01,105.489998,106.360001,102.900002,105.820000,83.350883,22958100
2016-02-01,105.199997,107.559998,103.949997,107.250000,84.477196,22935200
2016-03-01,107.449997,110.639999,107.330002,110.349998,87.264511,38565500
2016-04-01,109.910004,112.470001,109.529999,111.629997,88.639549,28105600
2016-05-01,111.589996,111.980003,110.129997,110.980003,88.467346,22609500
2016-06-01,110.709999,115.190002,110.529999,115.150002,92.129829,33149300
2016-07-01,115.139999,116.930000,114.610001,116.190002,93.335350,45954100
2016-08-01,115.580002,117.989998,114.940002,117.220001,94.597298,50375000
2016-09-01,116.519997,118.139999,114.940002,117.209999,94.998878,58552600
2016-10-01,116.940002,117.190002,114.550003,114.690002,93.348198,40737200
2016-11-01,114.500000,115.290001,107.739998,109.309998,89.352036,69695900
2016-12-01,108.500000,110.489998,107.980003,110.220001,90.453125,48096900
2017-01-01,110.529999,112.919998,110.430000,112.129997,92.617867,46416600
2017-02-01,111.629997,113.930000,111.309998,113.559998,93.799034,44973700
2017-03-01,113.010002,114.099998,111.320000,113.699997,94.286354,52214600
2017-04-01,113.500000,115.199997,113.269997,115.199997,95.902672,34977600
2017-05-01,114.620003,115.739998,113.949997,115.629997,96.632057,44590200
2017-06-01,115.320000,116.349998,114.339996,114.360001,95.940430,67447800
2017-07-01,113.959999,115.410004,112.599998,115.260002,97.068237,48728200
2017-08-01,114.849998,117.269997,114.730003,117.089996,98.992867,31880700
2017-09-01,116.580002,117.459999,115.650002,116.419998,98.815636,36147600
2017-10-01,115.739998,116.570000,115.230003,116.250000,99.052895,39042200
2017-11-01,115.839996,116.169998,114.180000,115.489998,98.788841,43230600
2017-12-01,115.349998,116.250000,115.199997,116.099998,99.692238,30983900
2018-01-01,116.029999,116.860001,115.160004,115.360001,99.763214,58357400
2018-02-01,115.000000,115.250000,111.059998,112.540001,97.324501,86894100
2018-03-01,112.050003,112.919998,111.010002,112.820000,97.829544,48637400
2018-04-01,112.230003,112.779999,110.080002,110.139999,95.795029,43417800
2018-05-01,109.570000,109.699997,106.930000,108.839996,94.979210,79503600
2018-06-01,107.739998,108.320000,105.169998,106.769997,93.521805,76804100
2018-07-01,106.089996,109.769997,105.930000,109.059998,95.926041,55338000
2018-08-01,108.470001,108.480003,105.269997,106.099998,93.713966,68155200
2018-09-01,105.000000,108.110001,104.980003,107.809998,95.610947,68513600
2018-10-01,107.519997,107.720001,104.589996,104.660004,93.200394,83767300
2018-11-01,104.489998,105.199997,102.150002,103.690002,92.723618,81026300
2018-12-01,104.330002,104.970001,102.620003,103.910004,93.331451,90297200
2019-01-01,103.660004,109.040001,103.570000,108.879997,99.449783,109900400
2019-02-01,108.250000,109.309998,107.360001,108.870003,99.440689,96067900
2019-03-01,108.330002,110.370003,107.480003,110.059998,100.937355,98781700
2019-04-01,110.000000,110.209999,107.730003,109.800003,101.110359,103482200
2019-05-01,109.500000,110.040001,108.410004,109.889999,101.612366,96678600
2019-06-01,109.089996,113.949997,109.080002,113.290001,105.186394,82748900
2019-07-01,113.599998,114.500000,112.650002,113.680000,105.991211,86457900
2019-08-01,113.230003,115.019997,112.480003,115.019997,107.656815,97146100
2019-09-01,114.599998,115.599998,112.610001,113.349998,106.485252,86128800
2019-10-01,112.769997,114.010002,112.330002,113.599998,107.104698,84324100
2019-11-01,113.160004,113.739998,111.650002,112.120003,106.083687,56829700
2019-12-01,111.610001,114.739998,111.180000,114.559998,108.780128,54890600
2020-01-01,114.750000,116.000000,114.089996,115.980003,110.958099,66524300
2020-02-01,115.419998,117.199997,112.989998,114.120003,109.178642,65626900
2020-03-01,114.089996,117.080002,85.000000,96.680000,92.822723,163355700
2020-04-01,95.120003,102.360001,93.790001,100.500000,96.844185,100526700
2020-05-01,99.099998,106.900002,99.059998,106.400002,102.965157,68464400
2020-06-01,106.330002,109.559998,106.050003,109.220001,106.094215,102492900
2020-07-01,108.940002,113.190002,108.809998,113.089996,110.202499,63643700
2020-08-01,113.000000,114.650002,112.480003,113.580002,111.015419,61080800
2020-09-01,113.580002,114.559998,109.199997,110.889999,108.701424,86493800
2020-10-01,110.940002,112.809998,109.820000,110.019997,108.165718,97821300
2020-11-01,109.849998,114.580002,109.750000,114.250000,112.696396,86326700
2020-12-01,114.000000,115.959999,113.849998,115.910004,114.746841,83747700
2021-01-01,116.019997,116.089996,112.809998,113.849998,113.487999,79643600
2021-02-01,113.610001,114.459999,113.610001,114.220001,113.856827,20072400
2021-02-08,114.050003,114.227997,113.864998,114.220001,114.220001,5098571
