Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,90.290001,91.889999,90.269997,91.779999,51.869923,22079600
2011-02-01,91.309998,92.529999,91.209999,92.500000,52.276836,25475600
2011-03-01,91.970001,92.220001,89.500000,91.959999,52.307362,30144800
2011-04-01,91.389999,92.849998,91.279999,92.849998,53.146255,22281700
2011-05-01,92.309998,92.730003,91.790001,92.400002,53.218540,20741800
2011-06-01,91.760002,91.889999,87.629997,91.309998,52.917309,46016500
2011-07-01,91.389999,91.860001,90.320000,91.050003,53.091858,26498800
2011-08-01,90.790001,91.010002,82.330002,88.029999,51.660160,61907500
2011-09-01,87.489998,87.610001,82.730003,82.830002,48.904499,42327800
2011-10-01,81.919998,91.419998,77.900002,89.279999,53.052006,66072500
2011-11-01,87.529999,88.989998,82.529999,86.599998,51.795906,49514300
2011-12-01,86.000000,89.650002,85.839996,89.430000,53.805546,39502000
2012-01-01,89.820000,91.480003,88.550003,90.739998,55.272617,54402500
2012-02-01,90.279999,92.260002,89.989998,92.129997,56.119297,53365700
2012-03-01,91.650002,91.839996,89.639999,90.720001,55.570892,68076700
2012-04-01,90.360001,91.220001,88.720001,91.199997,56.192474,62675900
2012-05-01,90.849998,91.250000,87.370003,87.769997,54.405922,87920800
2012-06-01,86.580002,91.290001,86.360001,91.290001,56.905464,74905000
2012-07-01,90.800003,91.989998,90.400002,91.699997,57.516220,67709600
2012-08-01,91.410004,92.400002,91.080002,92.330002,58.241863,58136900
2012-09-01,91.870003,94.040001,91.480003,92.300003,58.545315,67506400
2012-10-01,92.269997,93.559998,91.599998,92.589996,59.054195,68347300
2012-11-01,92.180000,93.150002,90.089996,93.050003,59.661079,83888800
2012-12-01,92.860001,93.910004,92.660004,93.349998,59.853451,59701700
2013-01-01,94.070000,94.970001,93.620003,93.669998,60.704529,66176100
2013-02-01,93.540001,94.150002,92.809998,94.040001,60.944244,72143300
2013-03-01,93.489998,94.599998,93.480003,94.349998,61.472668,50700500
2013-04-01,93.830002,95.849998,93.650002,95.849998,62.787849,65772700
2013-05-01,95.339996,96.300003,92.900002,92.919998,61.184956,90879500
2013-06-01,92.379997,93.449997,88.269997,90.879997,60.135311,161977500
2013-07-01,90.570000,94.010002,89.629997,92.980003,61.843678,106124000
2013-08-01,92.419998,92.589996,89.800003,91.349998,61.082138,83104700
2013-09-01,90.940002,92.989998,90.269997,91.580002,61.535709,104711800
2013-10-01,91.160004,93.830002,91.059998,93.430000,63.110390,76451000
2013-11-01,93.000000,93.639999,92.320000,93.419998,63.411758,59946500
2013-12-01,92.889999,93.330002,92.540001,92.879997,63.350365,79906600
2014-01-01,92.860001,93.949997,92.709999,93.250000,64.232651,84716300
2014-02-01,93.019997,95.019997,92.300003,94.930000,65.389931,85599200
2014-03-01,94.370003,94.750000,93.540001,94.389999,65.341644,94781500
2014-04-01,94.050003,94.500000,93.769997,94.339996,65.627113,61692600
2014-05-01,94.010002,95.070000,93.750000,95.050003,66.434219,71823000
2014-06-01,94.750000,95.430000,94.260002,95.199997,66.838768,56241800
2014-07-01,94.930000,95.029999,92.440002,92.480003,65.223473,79705200
2014-08-01,92.059998,94.480003,91.320000,94.239998,66.755783,85732500
2014-09-01,93.769997,93.980003,90.889999,91.949997,65.438591,105296000
2014-10-01,91.750000,94.949997,89.209999,92.529999,66.153198,181353300
2014-11-01,92.220001,92.620003,90.860001,91.129997,65.430534,91230400
2014-12-01,90.669998,90.669998,86.120003,89.599998,64.614098,193208000
2015-01-01,89.690002,90.519997,88.339996,90.230003,65.648079,140445200
2015-02-01,90.029999,91.970001,89.879997,91.870003,66.841270,114613000
2015-03-01,91.559998,91.599998,89.489998,90.610001,66.192337,165211100
2015-04-01,90.349998,91.559998,90.099998,90.989998,66.755478,110397900
2015-05-01,90.660004,91.080002,90.269997,90.910004,66.996971,126400500
2015-06-01,90.650002,90.769997,88.370003,88.800003,65.732430,158414000
2015-07-01,88.809998,89.029999,86.809998,87.970001,65.407257,159510000
2015-08-01,87.589996,87.730003,83.430000,86.239998,64.407433,174567600
2015-09-01,85.699997,86.620003,82.629997,83.290001,62.485565,153012200
2015-10-01,82.750000,86.089996,81.660004,85.570000,64.482422,222965800
2015-11-01,85.180000,85.580002,82.570000,83.050003,62.883930,150394800
2015-12-01,82.849998,83.440002,78.209999,80.580002,61.295929,400584400
2016-01-01,80.010002,80.529999,75.820000,79.290001,60.924953,316408300
2016-02-01,78.760002,80.129997,75.089996,80.080002,61.531971,298076100
2016-03-01,79.830002,82.610001,79.540001,81.690002,63.080173,316252400
2016-04-01,80.980003,84.040001,80.779999,83.849998,65.088669,231230300
2016-05-01,83.379997,83.940002,82.209999,83.610001,65.204865,283717000
2016-06-01,82.989998,84.800003,82.010002,84.699997,66.357246,373370000
2016-07-01,84.300003,86.320000,83.750000,85.410004,67.236748,254633400
