Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,105.400002,106.000000,104.940002,105.660004,81.474014,16117100
2011-02-01,105.250000,105.650002,103.849998,105.650002,81.466309,13714000
2011-03-01,105.099998,106.540001,104.680000,105.129997,81.308517,16078100
2011-04-01,104.709999,106.489998,104.529999,106.459999,82.559906,11569400
2011-05-01,106.209999,107.620003,106.040001,107.459999,83.584259,14134000
2011-06-01,107.309998,107.879997,106.400002,106.669998,83.216759,25920400
2011-07-01,106.500000,108.199997,106.269997,108.160004,84.625618,17906300
2011-08-01,107.839996,110.500000,107.820000,109.500000,85.918907,30688100
2011-09-01,109.470001,111.029999,109.160004,110.110001,86.637848,21067000
2011-10-01,110.110001,110.529999,108.699997,110.029999,86.758736,23951700
2011-11-01,109.900002,110.339996,109.239998,109.379997,86.418098,24829200
2011-12-01,108.800003,110.639999,108.599998,110.250000,87.333252,27367900
2012-01-01,110.199997,111.070000,109.769997,111.050003,88.456848,23907100
2012-02-01,110.610001,111.050003,110.160004,110.760002,88.225830,22485100
2012-03-01,110.230003,110.620003,108.839996,109.849998,87.718201,22859700
2012-04-01,109.879997,110.739998,109.070000,110.599998,88.538528,20183200
2012-05-01,110.459999,111.620003,110.260002,111.559998,89.505028,20958500
2012-06-01,111.500000,111.870003,110.779999,111.300003,89.482506,24408700
2012-07-01,111.169998,112.709999,111.080002,112.589996,90.713135,16056200
2012-08-01,112.250000,112.500000,110.970001,112.370003,90.717690,19783400
2012-09-01,112.139999,112.459999,111.330002,112.449997,90.960022,27656000
2012-10-01,112.169998,112.410004,111.709999,112.190002,90.926903,21879600
2012-11-01,112.050003,112.330002,111.669998,112.250000,91.143326,23776700
2012-12-01,111.449997,111.839996,110.739998,111.080002,90.389053,19614500
2013-01-01,110.820000,111.099998,110.150002,110.389999,90.551170,27648300
2013-02-01,110.379997,110.839996,109.919998,110.830002,90.912094,21580400
2013-03-01,110.639999,110.779999,109.779999,110.730003,91.003998,23012400
2013-04-01,110.440002,111.680000,110.389999,111.540001,91.842896,23076200
2013-05-01,111.480003,111.500000,108.879997,109.110001,90.053467,22834600
2013-06-01,108.790001,109.089996,105.820000,107.209999,88.645866,30448100
2013-07-01,106.919998,107.690002,105.820000,107.300003,88.879143,17744300
2013-08-01,106.839996,107.269997,105.330002,106.209999,88.139015,17246900
2013-09-01,105.629997,107.360001,104.879997,107.199997,89.130836,17599000
2013-10-01,107.080002,108.209999,106.739998,107.900002,89.880440,20837600
2013-11-01,107.639999,107.650002,106.669998,107.440002,89.656982,21125300
2013-12-01,107.099998,107.120003,105.349998,106.430000,88.970863,39282700
2014-01-01,106.449997,108.070000,106.389999,108.070000,90.691376,35590100
2014-02-01,107.779999,108.370003,107.449997,108.269997,90.859222,19306000
2014-03-01,108.209999,108.379997,107.389999,107.910004,90.730064,23035100
2014-04-01,107.660004,108.620003,107.330002,108.589996,91.470757,22396300
2014-05-01,108.379997,109.830002,108.349998,109.669998,92.556297,25604300
2014-06-01,109.290001,109.500000,108.610001,109.400002,92.497108,20448400
2014-07-01,109.110001,109.550003,108.470001,108.930000,92.273941,21657000
2014-08-01,108.889999,110.120003,108.760002,109.980003,93.330551,30610000
2014-09-01,109.550003,109.629997,108.449997,109.110001,92.762558,28100000
2014-10-01,109.199997,112.080002,109.199997,110.080002,93.753471,55093100
2014-11-01,109.830002,110.620003,109.500000,110.610001,94.368317,29779300
2014-12-01,110.599998,110.680000,109.459999,110.120003,94.114471,44594400
2015-01-01,110.180000,112.519997,110.180000,112.379997,96.615746,53657800
2015-02-01,112.059998,112.230003,110.239998,111.199997,95.601242,38739100
2015-03-01,110.989998,111.750000,109.599998,111.430000,95.949280,53897500
2015-04-01,111.419998,111.800003,110.510002,110.860001,95.618401,30792100
